Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.008492	0.981000	
0.033157	1.962000	
0.171996	2.943000	
0.249265	3.924000	
0.128848	4.905000	
0.028500	5.886000	
0.132371	6.867000	
0.182721	7.848000	
0.212495	8.829000	
0.217694	9.810000	
0.205732	10.791000	
0.186602	11.772000	
0.160948	12.753000	
0.126051	13.734000	
0.104913	14.715000	
0.098679	15.696000	
0.097432	16.677000	
0.097593	17.658000	
0.098332	18.639000	
0.099737	19.620000	
0.101968	20.601000	
0.105031	21.582000	
0.111558	22.563000	
0.119061	23.544000	
0.126609	24.525000	
0.131206	25.506000	
0.131718	26.487000	
0.132130	27.468000	
0.132495	28.449000	
0.132599	28.939500	
0.132598	29.184750	
0.132588	29.307375	
0.132582	29.430000	
