Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000218	0.981000	
0.048456	1.962000	
0.059560	2.943000	
0.036864	3.924000	
0.003581	4.905000	
0.020164	5.886000	
0.025081	6.867000	
0.022648	7.848000	
0.020829	8.829000	
0.020127	9.810000	
0.017737	10.791000	
0.011465	11.772000	
0.013619	12.753000	
0.014929	13.734000	
0.012424	14.715000	
0.011926	15.696000	
0.016627	16.677000	
0.020586	17.658000	
0.027686	18.639000	
0.036359	19.620000	
0.044643	20.601000	
0.053075	21.582000	
0.061364	22.563000	
0.070944	23.544000	
0.080612	24.525000	
0.089313	25.506000	
0.096066	26.487000	
0.101716	27.468000	
0.104155	28.449000	
0.103432	28.939500	
0.103435	29.184750	
0.103768	29.307375	
0.104099	29.430000	
