Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001758	0.981000	
0.009991	1.962000	
0.083763	2.943000	
0.096436	3.924000	
0.046712	4.905000	
0.006080	5.886000	
0.018734	6.867000	
0.029702	7.848000	
0.036387	8.829000	
0.040209	9.810000	
0.041460	10.791000	
0.039750	11.772000	
0.038000	12.753000	
0.033446	13.734000	
0.026676	14.715000	
0.015645	15.696000	
0.002646	16.677000	
0.021737	17.658000	
0.029734	18.639000	
0.043763	19.620000	
0.056061	20.601000	
0.056904	21.582000	
0.050222	22.563000	
0.043703	23.544000	
0.039389	24.525000	
0.035587	25.506000	
0.029669	26.487000	
0.022628	27.468000	
0.016122	28.449000	
0.012254	28.939500	
0.010232	29.184750	
0.009226	29.307375	
0.008543	29.430000	
