Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001653	0.981000	
0.023862	1.962000	
0.128120	2.943000	
0.158392	3.924000	
0.198527	4.905000	
0.222160	5.886000	
0.234871	6.867000	
0.229147	7.848000	
0.234744	8.829000	
0.233835	9.810000	
0.232122	10.791000	
0.233032	11.772000	
0.234474	12.753000	
0.229275	13.734000	
0.241494	14.715000	
0.258358	15.696000	
0.274053	16.677000	
0.289144	17.658000	
0.286573	18.639000	
0.277965	19.620000	
0.263841	20.601000	
0.246219	21.582000	
0.220748	22.563000	
0.190269	23.544000	
0.156979	24.525000	
0.121485	25.506000	
0.085657	26.487000	
0.055995	27.468000	
0.031354	28.449000	
0.019759	28.939500	
0.013817	29.184750	
0.010871	29.307375	
0.007979	29.430000	
