Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.002254	0.981000	
0.035398	1.962000	
0.081230	2.943000	
0.130218	3.924000	
0.178097	4.905000	
0.195458	5.886000	
0.183651	6.867000	
0.174864	7.848000	
0.163033	8.829000	
0.158123	9.810000	
0.164667	10.791000	
0.166891	11.772000	
0.165084	12.753000	
0.160361	13.734000	
0.147354	14.715000	
0.129508	15.696000	
0.114614	16.677000	
0.110921	17.658000	
0.110703	18.639000	
0.107334	19.620000	
0.104161	20.601000	
0.104769	21.582000	
0.105519	22.563000	
0.105882	23.544000	
0.106429	24.525000	
0.107063	25.506000	
0.107522	26.487000	
0.108670	27.468000	
0.110147	28.449000	
0.110859	28.939500	
0.111243	29.184750	
0.111429	29.307375	
0.111614	29.430000	
