Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.003222	0.981000	
0.062253	1.962000	
0.099837	2.943000	
0.094294	3.924000	
0.094702	4.905000	
0.116887	5.886000	
0.139321	6.867000	
0.160770	7.848000	
0.157435	8.829000	
0.135997	9.810000	
0.111967	10.791000	
0.085032	11.772000	
0.054516	12.753000	
0.033751	13.734000	
0.014330	14.715000	
0.001089	15.696000	
0.016721	16.677000	
0.031713	17.658000	
0.040378	18.639000	
0.048978	19.620000	
0.057332	20.601000	
0.065411	21.582000	
0.067181	22.563000	
0.065593	23.544000	
0.063215	24.525000	
0.061711	25.506000	
0.060903	26.487000	
0.060577	27.468000	
0.059663	28.449000	
0.059039	28.939500	
0.058552	29.184750	
0.058296	29.307375	
0.058035	29.430000	
