Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.003291	0.981000	
0.061106	1.962000	
0.018227	2.943000	
0.067730	3.924000	
0.155498	4.905000	
0.245802	5.886000	
0.299337	6.867000	
0.339308	7.848000	
0.391168	8.829000	
0.438879	9.810000	
0.451079	10.791000	
0.418748	11.772000	
0.377280	12.753000	
0.336628	13.734000	
0.309523	14.715000	
0.313057	15.696000	
0.337373	16.677000	
0.362943	17.658000	
0.384690	18.639000	
0.403041	19.620000	
0.415428	20.601000	
0.421864	21.582000	
0.422546	22.563000	
0.418815	23.544000	
0.412711	24.525000	
0.403456	25.506000	
0.391699	26.487000	
0.378367	27.468000	
0.362994	28.449000	
0.354623	28.939500	
0.350208	29.184750	
0.348023	29.307375	
0.345755	29.430000	
