Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000108	0.981000	
0.010842	1.962000	
0.026694	2.943000	
0.069514	3.924000	
0.103332	4.905000	
0.127401	5.886000	
0.149565	6.867000	
0.176072	7.848000	
0.202796	8.829000	
0.219405	9.810000	
0.237072	10.791000	
0.257058	11.772000	
0.273919	12.753000	
0.280532	13.734000	
0.296972	14.715000	
0.302335	15.696000	
0.305182	16.677000	
0.307029	17.658000	
0.306884	18.639000	
0.305706	19.620000	
0.300112	20.601000	
0.286767	21.582000	
0.264985	22.563000	
0.244877	23.544000	
0.229215	24.525000	
0.213376	25.506000	
0.197157	26.487000	
0.183985	27.468000	
0.170899	28.449000	
0.167816	28.939500	
0.165500	29.184750	
0.164368	29.307375	
0.163244	29.430000	
