Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.000247	0.981000	
0.045545	1.962000	
0.098180	2.943000	
0.080293	3.924000	
0.005439	4.905000	
0.119755	5.886000	
0.195166	6.867000	
0.203321	7.848000	
0.185699	8.829000	
0.166035	9.810000	
0.145621	10.791000	
0.126090	11.772000	
0.096054	12.753000	
0.065887	13.734000	
0.033571	14.715000	
0.021441	15.696000	
0.061565	16.677000	
0.078661	17.658000	
0.074221	18.639000	
0.067939	19.620000	
0.067723	20.601000	
0.080371	21.582000	
0.099711	22.563000	
0.116515	23.544000	
0.116216	24.525000	
0.112881	25.506000	
0.102324	26.487000	
0.086579	27.468000	
0.066149	28.449000	
0.056753	28.939500	
0.052640	29.184750	
0.050597	29.307375	
0.048580	29.430000	
