Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.001347	0.981000	
0.021260	1.962000	
0.078876	2.943000	
0.158565	3.924000	
0.231153	4.905000	
0.226818	5.886000	
0.218539	6.867000	
0.179968	7.848000	
0.173447	8.829000	
0.206405	9.810000	
0.206848	10.791000	
0.197603	11.772000	
0.184343	12.753000	
0.162553	13.734000	
0.136608	14.715000	
0.116311	15.696000	
0.095631	16.677000	
0.080296	17.658000	
0.074568	18.639000	
0.072733	19.620000	
0.078350	20.601000	
0.086494	21.582000	
0.095728	22.563000	
0.104834	23.544000	
0.115171	24.525000	
0.124025	25.506000	
0.133183	26.487000	
0.133229	27.468000	
0.133781	28.449000	
0.136128	28.939500	
0.137408	29.184750	
0.138046	29.307375	
0.138693	29.430000	
