Res. Displacement [m]	Acceleration [m/sec2]	
0.000000	0.000000	
0.002247	0.981000	
0.007179	1.962000	
0.006299	2.943000	
0.040557	3.924000	
0.054669	4.905000	
0.037882	5.886000	
0.047589	6.867000	
0.043595	7.848000	
0.031430	8.829000	
0.021743	9.810000	
0.015384	10.791000	
0.012881	11.772000	
0.012843	12.753000	
0.008406	13.734000	
0.003577	14.715000	
0.002669	15.696000	
0.008050	16.677000	
0.013245	17.658000	
0.019774	18.639000	
0.026887	19.620000	
0.034456	20.601000	
0.042163	21.582000	
0.049741	22.563000	
0.056926	23.544000	
0.063215	24.525000	
0.068718	25.506000	
0.072352	26.487000	
0.072912	27.468000	
0.070085	28.449000	
0.067590	28.939500	
0.065963	29.184750	
0.065080	29.307375	
0.064137	29.430000	
