Piso;h [cm];W [tonf];P [tonf];K [tonf/cm];Fy [tonf];as;ac;dc/dy;xi;d0;v0
9;396.2;1066.8;1066.8;330.4;1723.7;0.05;-0.02;5;0.05;0;0
8;396.2;990.3;990.3;330.4;1723.7;0.05;-0.02;5;0.05;0;0
7;396.2;990.3;990.3;348.2;1814.4;0.05;-0.02;5;0.05;0;0
6;396.2;990.3;990.3;348.2;1814.4;0.05;-0.02;5;0.05;0;0
5;396.2;990.3;990.3;366.1;1905.1;0.05;-0.02;5;0.05;0;0
4;396.2;990.3;990.3;366.1;1905.1;0.05;-0.02;5;0.05;0;0
3;396.2;990.3;990.3;375;1950.4;0.05;-0.02;5;0.05;0;0
2;396.2;990.3;990.3;375;1950.4;0.05;-0.02;5;0.05;0;0
1;548.6;1007.6;1007.6;392.9;2041.2;0.05;-0.02;5;0.05;0;0
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
