GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
5400,7000,18000,18000,18000,18000,12380,7820,7875,7375,7555,7820,6000,4010,2235,12000,4175,8000,2000,2000
0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.01,0.005,0.01,0.02
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.0140923,0.002146282,2.5479e-06,0.0002250229,-4.46494e-05,0.0001393854,-0.0009959883,-0.0002964875,-0.002305143,0.002113082,0.002193787,-0.0009228412,0.004069123,0.001642741,-0.004750411,0.0002458401,0.001176882,-0.0007874952,0.0001492465,0.002724306
0.005788556,0.002138723,2.5737e-06,0.000225153,-4.46255e-05,0.0001391264,8.57611e-05,-0.0002947976,-0.002300164,0.002108816,0.002189231,-0.0009212889,0.00407314,0.001639913,-0.004742604,0.0002464579,0.001177381,-0.0007870413,0.0001501797,0.001603144
-0.004167294,0.002131162,2.5553e-06,0.000225275,-4.46145e-05,0.000138866,0.0007374626,-0.000293089,-0.002295249,0.002104611,0.002184751,-0.0009196979,0.004077228,0.001633257,-0.004734628,0.0002471427,0.001177614,-0.0007863979,0.0001452567,0.0003595211
0.002501595,0.002123628,2.5567e-06,0.0002253995,-4.46097e-05,0.000138601,0.001329213,-0.0002913476,-0.002290413,0.002100446,0.002180341,-0.0009181047,0.004081222,0.0016257,-0.004726493,0.0002477977,0.001177873,-0.0007856355,0.000142858,-0.002016363
-0.002493757,0.002116074,2.5658e-06,0.0002255279,-4.45952e-05,0.0001383513,0.003694655,-0.0002895808,-0.002285633,0.00209635,0.002175991,-0.0009164821,0.004085206,0.001612266,-0.004718171,0.0002484815,0.001178401,-0.000784706,0.0001434328,-0.002607308
0.001527873,0.002108502,2.5801e-06,0.0002256527,-4.45619e-05,0.0001381092,0.006059992,-0.0002877795,-0.002280937,0.00209231,0.002171717,-0.0009148639,0.004089091,0.001598914,-0.004709592,0.0002491391,0.001179123,-0.0007836359,0.0001135273,-0.001511233
-0.001812478,0.002100945,2.5735e-06,0.0002257602,-4.45328e-05,0.0001378474,0.007519104,-0.0002859462,-0.002276307,0.002088334,0.002167519,-0.0009132087,0.004093033,0.001585657,-0.004700694,0.0002498292,0.001183409,-0.0007824045,5.45316e-05,-0.0006783789
0.001073677,0.002093458,2.5796e-06,0.0002258626,-4.4523e-05,0.0001375693,0.008751533,-0.000284088,-0.002271773,0.002084417,0.00216338,-0.000911559,0.004097081,0.001583872,-0.004691434,0.000250496,0.001193366,-0.0007809951,-7.9089e-06,-0.0008798642
-0.001437733,0.002086011,2.5898e-06,0.000225975,-4.45169e-05,0.0001373114,0.01000823,-0.0002821785,-0.00226735,0.002080573,0.002159318,-0.0009098677,0.004101379,0.001596515,-0.004681679,0.0002511814,0.001189282,-0.0007793799,-4.99769e-05,0.000238471
0.0008173606,0.002078516,2.5905e-06,0.0002260573,-4.44948e-05,0.0001370606,0.01136006,-0.0002802475,-0.002263083,0.002076785,0.002155314,-0.0009081501,0.004106494,0.001633032,-0.004671274,0.0002518377,0.001122531,-0.0007775706,-1.47386e-05,0.005396967
-0.001198435,0.002070976,2.6044e-06,0.0002261417,-4.44817e-05,0.0001367968,0.01269149,-0.0002782998,-0.002258936,0.002073106,0.002151394,-0.0009064071,0.004112772,0.001687025,-0.004660122,0.0002525249,0.001026036,-0.0007755349,0.00010185,0.005766504
0.0006549547,0.002063561,2.6353e-06,0.0002262635,-4.44632e-05,0.0001365466,0.01298281,-0.0002763195,-0.002254852,0.002069483,0.002147531,-0.000904617,0.004120863,0.001750181,-0.004648382,0.0002531812,0.001037767,-0.0007733195,0.0002514822,0.004159222
-0.00102794,0.002056247,2.6369e-06,0.0002263916,-4.44265e-05,0.0001362932,0.0130345,-0.0002743063,-0.002250674,0.002065829,0.002143734,-0.0009027599,0.00413024,0.001794336,-0.004636458,0.0002538472,0.001176605,-0.0007708495,0.0003649215,0.005508863
0.0005467463,0.002048959,2.6301e-06,0.0002264917,-4.44295e-05,0.0001360452,0.01256613,-0.0002722672,-0.002246461,0.002062039,0.002140014,-0.0009008178,0.004138172,0.001796381,-0.004624166,0.0002544904,0.001574955,-0.000768126,0.0003227473,0.005081605
-0.0009008939,0.002041499,2.6376e-06,0.0002265412,-4.4443e-05,0.0001357612,0.01186831,-0.0002702156,-0.002242247,0.002058175,0.00213636,-0.0008988367,0.004143835,0.00172815,-0.004611674,0.0002551623,0.002217203,-0.0007652975,0.0002066516,0.00176769
0.0004728765,0.002034108,2.6433e-06,0.0002265788,-4.43858e-05,0.0001354457,0.01095025,-0.0002681598,-0.002238026,0.002054586,0.002132771,-0.0008969736,0.004148872,0.001587476,-0.004599083,0.0002558351,0.002181941,-0.0007624815,0.000115046,0.002679577
-0.0007964578,0.002027069,2.6385e-06,0.0002266854,-4.43328e-05,0.0001351768,0.008340564,-0.0002660949,-0.002233661,0.002051391,0.002129247,-0.000895231,0.00415261,0.001393359,-0.00458559,0.0002565153,0.001398302,-0.0007592406,4.47333e-05,0.004318666
0.0004166265,0.002020012,2.6797e-06,0.0002267955,-4.43141e-05,0.0001350221,0.005853349,-0.0002640236,-0.002229093,0.002048356,0.002125784,-0.0008934971,0.004161243,0.001209599,-0.00456925,0.0002571614,0.0006970503,-0.0007554349,-7.06926e-05,0.00372186
-0.0007146503,0.002012615,2.7166e-06,0.0002268337,-4.42437e-05,0.0001347513,0.004015078,-0.0002618759,-0.002224224,0.002045047,0.002122414,-0.0008917662,0.004174799,0.001113995,-0.004550674,0.0002578331,0.0008344604,-0.0007513014,-6.27513e-05,0.001076837
0.0003783821,0.002004876,2.7256e-06,0.0002268954,-4.41582e-05,0.0001343898,0.002216777,-0.0002594433,-0.002219389,0.002041263,0.002119101,-0.0008900857,0.004187255,0.001164611,-0.004530266,0.0002584982,0.0009606336,-0.0007469873,6.70174e-05,-0.003950964
-0.0006444393,0.001997114,2.7131e-06,0.0002270446,-4.42264e-05,0.00013425,0.001288495,-0.0002567847,-0.002215572,0.002037126,0.002115856,-0.0008885908,0.004193167,0.001377341,-0.004507718,0.0002592128,-0.0003951142,-0.0007431581,0.0001604794,-0.007770119
0.0003518898,0.001989646,2.6431e-06,0.0002272181,-4.43752e-05,0.0001341204,0.0003401846,-0.0002540372,-0.002212829,0.002033193,0.002112681,-0.0008872725,0.004167084,0.001735226,-0.004482617,0.00025993,-0.0006993969,-0.0007398844,0.0003008153,-0.00916479
-0.0005833469,0.001982366,2.5547e-06,0.0002272636,-4.44188e-05,0.0001337274,-0.0001081318,-0.0002511881,-0.002210373,0.002030176,0.002109573,-0.0008860915,0.004095304,0.002173917,-0.004454368,0.0002606205,0.0009363578,-0.0007356423,0.0001844703,-0.008203317
0.000330033,0.001975153,2.6772e-06,0.00022725,-4.4301e-05,0.0001333413,0.0005435778,-0.0002481103,-0.002207972,0.002028303,0.002106543,-0.0008846009,0.004006393,0.002648717,-0.004423964,0.0002612167,0.003805992,-0.0007301032,-4.90968e-05,-0.002851818
-0.0005282583,0.001967819,2.8542e-06,0.0002273667,-4.41476e-05,0.0001332463,0.001315255,-0.0002447385,-0.002205949,0.002027332,0.002103591,-0.0008826795,0.003947393,0.003072383,-0.004393243,0.0002617455,0.005741861,-0.0007242094,-0.0003988803,0.002769925
0.000314869,0.001960151,2.8205e-06,0.0002273638,-4.41301e-05,0.0001331111,0.002086929,-0.000241047,-0.002204511,0.002026908,0.002100704,-0.000880696,0.003943208,0.003332895,-0.004361444,0.0002621649,0.005041443,-0.0007183538,-0.0009837953,0.004832834
-0.0004804999,0.00195261,2.6926e-06,0.0002271767,-4.41164e-05,0.0001326694,0.002738582,-0.0002370663,-0.002203645,0.002026838,0.002097904,-0.0008789528,0.003960095,0.003344211,-0.004326107,0.0002626229,0.002040177,-0.0007121292,-0.001516341,0.002028249
0.0003086055,0.001946056,2.6899e-06,0.000227228,-4.41154e-05,0.0001322936,0.004570348,-0.0002327336,-0.002202222,0.002026659,0.002095177,-0.00087725,0.004000809,0.003106306,-0.004287063,0.0002631635,-0.002634813,-0.0007052821,-0.001623684,-0.001371051
-0.0004372429,0.001939383,2.774e-06,0.0002274496,-4.41503e-05,0.0001321539,0.006697013,-0.0002280035,-0.002196622,0.002023997,0.002092533,-0.0008754104,0.004110466,0.002656808,-0.004249573,0.0002639012,-0.007589875,-0.0006980013,-0.001122642,-0.001166743
0.0002919773,0.001931367,2.8366e-06,0.0002274901,-4.40897e-05,0.0001319555,0.008823676,-0.0002228099,-0.0021872,0.002018118,0.00208997,-0.0008733832,0.004360136,0.002059861,-0.00422676,0.0002647389,-0.009210146,-0.0006903844,-0.0003031744,-0.00141027
-0.0003902681,0.001923394,2.7871e-06,0.000227437,-4.40488e-05,0.0001314588,0.01095014,-0.0002172414,-0.002175917,0.002011142,0.002087489,-0.0008713055,0.004779168,0.00141177,-0.004214367,0.0002655997,-0.005302921,-0.0006823674,3.84583e-05,0.005248491
0.0002981372,0.00191699,2.6226e-06,0.0002274839,-4.40585e-05,0.0001311167,0.0130769,-0.0002132983,-0.002162,0.002003918,0.002085093,-0.0008701196,0.005151805,0.0008629134,-0.004209267,0.0002663377,-0.0001404295,-0.0006738271,9.35e-07,0.01418588
-0.0003594172,0.001910617,2.6292e-06,0.0002275987,-4.38218e-05,0.0001310577,0.01506905,-0.0002127135,-0.00215052,0.001995517,0.002082788,-0.0008719596,0.005404543,0.0005202902,-0.004208192,0.0002669323,0.002606232,-0.0006646452,-7.55555e-05,0.01303745
0.0002914316,0.001902907,2.6001e-06,0.0002275341,-4.37596e-05,0.0001309498,0.01621994,-0.0002134133,-0.002151126,0.001987555,0.002080578,-0.0008706231,0.00567208,0.0003781809,-0.00420319,0.000267541,0.007961552,-0.0006520502,-0.0004703755,0.01067823
-0.0003230381,0.001895441,2.6253e-06,0.0002272967,-4.40689e-05,0.0001306388,0.01705165,-0.0002138399,-0.002159186,0.001982035,0.002078461,-0.0008598128,0.005794057,0.0003639385,-0.004193269,0.0002684047,0.005966366,-0.0006330694,-0.001337735,0.01002033
0.0002885337,0.001889559,2.7726e-06,0.0002273285,-4.42598e-05,0.0001302014,0.01740409,-0.0002182114,-0.00216776,0.001983739,0.00207644,-0.0008449379,0.005630262,0.0004179906,-0.004197667,0.0002694658,-0.000156799,-0.0006128529,-0.002213962,0.004987588
-0.0002807439,0.001884565,2.8481e-06,0.0002273926,-4.41764e-05,0.0001300971,0.01753526,-0.0002254742,-0.002179639,0.001993733,0.002074491,-0.0008314763,0.005295514,0.0005862251,-0.004208275,0.0002705957,0.003066349,-0.0005976728,-0.002100145,-0.006657863
0.0002923622,0.001879108,2.6762e-06,0.0002271771,-4.43832e-05,0.0001300185,0.01682719,-0.0002184232,-0.00218642,0.002010248,0.002072663,-0.000818401,0.004978363,0.0009716621,-0.004152212,0.0002715102,0.001374899,-0.0005815797,-0.0009892894,-0.01539636
